Battle_ID,P1_Team,P2_Team,P1_Brought,P2_Brought
gen9championsvgc2026regma-2589225182,"Whimsicott,Tyranitar,Garchomp,Basculegion,Corviknight,Venusaur","Tyranitar,Excadrill,Incineroar,Sneasler,Hydreigon,Sinistcha","Basculegion,Corviknight,Whimsicott,Garchomp","Tyranitar,Excadrill,Hydreigon,Incineroar"
gen9championsvgc2026regma-2589226192,"Aegislash,Garchomp,Whimsicott,Incineroar,Milotic,Floette-Eternal","Basculegion,Pelipper,Dragonite,Kingambit,Garchomp,Venusaur","Milotic,Floette-Eternal,Whimsicott,Garchomp","Basculegion,Venusaur,Pelipper,Kingambit"
gen9championsvgc2026regma-2589226526,"Floette-Eternal,Garchomp,Aerodactyl,Blastoise,Rotom-Heat,Sinistcha","Whimsicott,Ninetales-Alola,Hydreigon,Azumarill,Arcanine-Hisui,Glaceon","Rotom-Heat,Aerodactyl,Floette-Eternal,Garchomp","Ninetales-Alola,Glaceon,Arcanine-Hisui,Whimsicott"
gen9championsvgc2026regma-2589228246,"Sableye,Primarina,Maushold,Meganium,Aerodactyl,Archaludon","Chandelure,Basculegion,Kingambit,Aerodactyl,Conkeldurr,Clefable","Primarina,Sableye,Archaludon","Aerodactyl,Chandelure,Clefable,Kingambit"
gen9championsvgc2026regma-2589223715,"Incineroar,Gengar,Kommo-o,Sinistcha,Aerodactyl,Tinkaton","Camerupt,Farigiraf,Torkoal,Sableye,Aggron,Milotic","Gengar,Incineroar,Sinistcha,Kommo-o","Farigiraf,Sableye,Camerupt,Milotic"
gen9championsvgc2026regma-2589226265,"Milotic,Incineroar,Scovillain,Basculegion,Heliolisk,Aerodactyl","Scovillain,Sneasler,Basculegion-F,Dragapult,Sableye,Farigiraf","Basculegion,Incineroar,Scovillain,Milotic","Basculegion-F,Dragapult,Scovillain"
gen9championsvgc2026regma-2589224098,"Dragapult,Goodra-Hisui,Floette-Eternal,Venusaur,Incineroar,Basculegion","Excadrill,Whimsicott,Chandelure,Zoroark-Hisui,Basculegion,Hydreigon","Venusaur,Goodra-Hisui,Incineroar,Dragapult","Basculegion,Chandelure,Excadrill,Whimsicott"
gen9championsvgc2026regma-2589225455,"Sinistcha,Talonflame,Feraligatr,Glimmora,Ninetales-Alola,Tinkaton","Politoed,Basculegion,Talonflame,Kangaskhan,Hydreigon,Aegislash","Talonflame,Sinistcha,Glimmora","Talonflame,Kangaskhan,Hydreigon"
gen9championsvgc2026regma-2589222970,"Sableye,Primarina,Maushold,Meganium,Aerodactyl,Archaludon","Dragonite,Pelipper,Archaludon,Basculegion,Meganium,Incineroar","Primarina,Sableye,Archaludon,Meganium","Meganium,Incineroar,Pelipper,Archaludon"
gen9championsvgc2026regma-2589222781,"Charizard,Milotic,Sneasler,Tauros-Paldea-Aqua,Sableye,Kangaskhan","Tyranitar,Rotom-Wash,Garchomp,Aerodactyl,Sinistcha,Sneasler","Tauros-Paldea-Aqua,Sableye,Charizard,Milotic","Sneasler,Sinistcha,Tyranitar,Rotom-Wash"
gen9championsvgc2026regma-2589222007,"Feraligatr,Sneasler,Tyranitar,Zoroark-Hisui,Milotic,Aerodactyl","Skarmory,Sneasler,Milotic,Tyranitar,Excadrill,Sinistcha","Sneasler,Aerodactyl,Milotic,Feraligatr","Tyranitar,Excadrill,Skarmory,Sinistcha"
gen9championsvgc2026regma-2589222492,"Sneasler,Basculegion,Aerodactyl,Archaludon,Scovillain,Pelipper","Floette-Eternal,Aegislash,Talonflame,Incineroar,Garchomp,Rotom-Wash","Basculegion,Pelipper,Archaludon,Scovillain","Talonflame,Incineroar,Floette-Eternal,Garchomp"
gen9championsvgc2026regma-2589223257,"Talonflame,Garchomp,Basculegion,Kingambit,Sneasler,Floette-Eternal","Pelipper,Mamoswine,Tsareena,Scizor,Ampharos,Gardevoir","Sneasler,Talonflame,Basculegion,Garchomp","Ampharos,Scizor,Tsareena,Gardevoir"
gen9championsvgc2026regma-2589220543,"Gallade,Noivern,Goodra-Hisui,Rotom-Wash,Incineroar,Clefable","Typhlosion-Hisui,Whimsicott,Garchomp,Farigiraf,Primarina,Venusaur","Noivern,Incineroar,Goodra-Hisui,Gallade","Primarina,Garchomp,Typhlosion-Hisui,Whimsicott"
gen9championsvgc2026regma-2589224138,"Feraligatr,Talonflame,Sinistcha,Kingambit,Sneasler,Gardevoir","Basculegion,Charizard,Kingambit,Sneasler,Venusaur,Talonflame","Sneasler,Talonflame,Sinistcha,Feraligatr","Sneasler,Talonflame,Charizard,Kingambit"
gen9championsvgc2026regma-2589223544,"Gallade,Maushold,Kingambit,Wyrdeer,Basculegion,Sylveon","Pelipper,Dragonite,Palafin,Incineroar,Klefki,Sinistcha","Basculegion,Gallade,Maushold,Kingambit","Klefki,Incineroar,Pelipper,Dragonite"
gen9championsvgc2026regma-2589222895,"Charizard,Venusaur,Incineroar,Noivern,Sinistcha,Garchomp","Pelipper,Archaludon,Feraligatr,Incineroar,Sneasler,Meganium","Noivern,Venusaur,Charizard,Garchomp","Sneasler,Pelipper,Feraligatr"
gen9championsvgc2026regma-2589222599,"Aerodactyl,Meganium,Archaludon,Gyarados,Sinistcha,Rhyperior","Blastoise,Talonflame,Farigiraf,Sinistcha,Kingambit,Sneasler","Gyarados,Aerodactyl,Sinistcha,Archaludon","Farigiraf,Sinistcha,Blastoise,Kingambit"
gen9championsvgc2026regma-2589224341,"Golurk,Farigiraf,Incineroar,Torkoal,Conkeldurr,Sinistcha","Meowstic,Alakazam,Beartic,Hatterene,Azumarill,Politoed","Sinistcha,Golurk,Torkoal,Conkeldurr","Azumarill,Hatterene,Beartic,Meowstic"
gen9championsvgc2026regma-2589219800,"Gardevoir,Meowscarada,Torkoal,Farigiraf,Incineroar,Rotom-Wash","Aegislash,Pelipper,Basculegion,Garchomp,Incineroar,Meganium","Meowscarada,Incineroar,Gardevoir,Rotom-Wash","Meganium,Incineroar,Pelipper,Garchomp"
gen9championsvgc2026regma-2589222161,"Lucario,Volcarona,Basculegion,Aerodactyl,Ninetales-Alola,Kingambit","Incineroar,Clefable,Aerodactyl,Garchomp,Sinistcha,Rotom-Wash","Lucario,Aerodactyl","Incineroar,Sinistcha,Clefable,Rotom-Wash"
gen9championsvgc2026regma-2589220166,"Incineroar,Sneasler,Dragonite,Politoed,Basculegion-F,Aerodactyl","Pikachu,Dedenne,Froslass,Wyrdeer,Starmie,Volcarona","Dragonite,Aerodactyl,Politoed,Incineroar","Volcarona,Wyrdeer,Starmie,Pikachu"
gen9championsvgc2026regma-2589220686,"Scovillain,Conkeldurr,Sinistcha,Dragapult,Armarouge,Aerodactyl","Aerodactyl,Sinistcha,Sneasler,Incineroar,Floette-Eternal,Charizard","Aerodactyl,Scovillain,Dragapult,Conkeldurr","Aerodactyl,Sinistcha,Charizard,Incineroar"
gen9championsvgc2026regma-2589219211,"Skarmory,Aerodactyl,Armarouge,Sinistcha,Archaludon,Garchomp","Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Archaludon,Aerodactyl,Armarouge,Skarmory","Whimsicott,Incineroar,Charizard,Garchomp"
gen9championsvgc2026regma-2589221533,"Samurott-Hisui,Incineroar,Sinistcha,Aerodactyl,Lucario,Mamoswine","Sinistcha,Maushold,Aurorus,Beartic,Alakazam,Hawlucha","Lucario,Incineroar,Sinistcha,Samurott-Hisui","Aurorus,Maushold,Beartic,Hawlucha"
gen9championsvgc2026regma-2589222256,"Incineroar,Whimsicott,Floette-Eternal,Politoed,Gengar,Kommo-o","Lucario,Whimsicott,Farigiraf,Floette-Eternal,Garchomp,Incineroar","Gengar,Incineroar,Politoed","Farigiraf,Lucario,Whimsicott"
gen9championsvgc2026regma-2589218327,"Floette-Eternal,Aerodactyl,Garchomp,Aegislash,Kangaskhan,Rotom-Wash","Charizard,Maushold,Luxray,Milotic,Sinistcha,Lucario","Aegislash,Aerodactyl,Floette-Eternal,Garchomp","Lucario,Luxray,Charizard,Maushold"
gen9championsvgc2026regma-2589222011,"Goodra-Hisui,Charizard,Venusaur,Ariados,Basculegion,Aerodactyl","Whimsicott,Zoroark-Hisui,Starmie,Kingambit,Sneasler,Aegislash","Basculegion,Aerodactyl,Charizard","Sneasler,Aegislash,Starmie,Kingambit"
gen9championsvgc2026regma-2589219860,"Tinkaton,Manectric,Blastoise,Pelipper,Sinistcha,Incineroar","Delphox,Sneasler,Kingambit,Whimsicott,Milotic,Garchomp","Tinkaton,Manectric,Pelipper,Incineroar","Sneasler,Delphox,Kingambit,Garchomp"
gen9championsvgc2026regma-2589220668,"Torkoal,Venusaur,Sneasler,Maushold,Talonflame,Charizard","Froslass,Drampa,Glaceon,Ninetales-Alola,Mr. Rime,Slowking","Sneasler,Talonflame,Venusaur,Charizard","Drampa,Glaceon,Slowking"
gen9championsvgc2026regma-2589220439,"Tyranitar,Rotom-Wash,Garchomp,Aerodactyl,Sinistcha,Sneasler","Floette-Eternal,Primarina,Whimsicott,Aegislash,Garchomp,Rotom-Heat","Sneasler,Garchomp,Rotom-Wash","Primarina,Floette-Eternal,Rotom-Heat,Garchomp"
gen9championsvgc2026regma-2589232608,"Pelipper,Basculegion,Sinistcha,Archaludon,Sneasler,Dragonite","Charizard,Incineroar,Sinistcha,Sneasler,Milotic,Ninetales-Alola","Sneasler,Basculegion,Pelipper,Archaludon","Sneasler,Ninetales-Alola,Sinistcha,Charizard"
gen9championsvgc2026regma-2589233563,"Kangaskhan,Ninetales-Alola,Sinistcha,Floette-Eternal,Sneasler,Garchomp","Excadrill,Tyranitar,Rotom-Wash,Floette-Eternal,Talonflame,Sinistcha","Sneasler,Sinistcha,Kangaskhan,Garchomp","Talonflame,Floette-Eternal,Sinistcha,Rotom-Wash"
gen9championsvgc2026regma-2589232900,"Floette-Eternal,Garchomp,Sneasler,Aerodactyl,Delphox,Kingambit","Glimmora,Sableye,Lucario,Araquanid,Gyarados,Dragonite","Sneasler,Floette-Eternal,Floette,Kingambit","Sableye,Araquanid,Dragonite,Glimmora"
gen9championsvgc2026regma-2589227592,"Charizard,Farigiraf,Whimsicott,Venusaur,Garchomp,Sneasler","Sneasler,Sinistcha,Incineroar,Gallade,Floette-Eternal,Maushold","Sneasler,Farigiraf,Charizard,Garchomp","Sneasler,Incineroar,Floette-Eternal,Maushold"
gen9championsvgc2026regma-2589233220,"Sinistcha,Aerodactyl,Starmie,Sneasler,Rotom-Wash,Hydreigon","Aerodactyl,Sinistcha,Sneasler,Incineroar,Floette-Eternal,Charizard","Sneasler,Aerodactyl,Starmie,Rotom-Wash","Incineroar,Floette,Floette-Eternal,Aerodactyl,Sinistcha"
gen9championsvgc2026regma-2589229471,"Starmie,Dragapult,Maushold,Pelipper,Archaludon,Sneasler","Audino,Espathra,Spiritomb,Tyrantrum,Milotic,Torkoal","Sneasler,Pelipper,Starmie,Dragapult","Torkoal,Audino,Spiritomb,Milotic"
gen9championsvgc2026regma-2589231352,"Charizard,Venusaur,Garchomp,Rotom-Wash,Sneasler,Incineroar","Klefki,Rotom-Wash,Aggron,Meowscarada,Basculegion,Sneasler","Charizard,Rotom-Wash,Venusaur,Sneasler","Aggron,Klefki,Rotom-Wash,Basculegion"
gen9championsvgc2026regma-2589244707,"Pelipper,Archaludon,Basculegion,Greninja,Meganium,Sneasler","Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Meganium,Pelipper,Sneasler,Basculegion","Garchomp,Incineroar,Charizard,Whimsicott"
gen9championsvgc2026regma-2589234900,"Aggron,Sinistcha,Incineroar,Tyranitar,Lycanroc,Sneasler","Sinistcha,Froslass,Palafin,Arcanine-Hisui,Sneasler,Kingambit","Tyranitar,Lycanroc,Incineroar,Sneasler","Arcanine-Hisui,Kingambit,Sinistcha,Froslass"
gen9championsvgc2026regma-2589244209,"Charizard,Rotom-Wash,Garchomp,Talonflame,Dragonite,Dragapult","Floette-Eternal,Froslass,Kingambit,Garchomp,Sneasler,Basculegion","Rotom-Wash,Charizard,Dragonite,Talonflame","Garchomp,Sneasler,Floette-Eternal,Basculegion"
gen9championsvgc2026regma-2589227396,"Aggron,Sinistcha,Incineroar,Tyranitar,Lycanroc,Sneasler","Sinistcha,Froslass,Palafin,Arcanine-Hisui,Sneasler,Kingambit","Aggron,Sneasler,Sinistcha,Tyranitar","Arcanine-Hisui,Sneasler,Sinistcha,Froslass"
gen9championsvgc2026regma-2589246841,"Froslass,Glalie,Abomasnow,Glaceon,Avalugg-Hisui,Ninetales-Alola","Aerodactyl,Garchomp,Sneasler,Zoroark-Hisui,Kingambit,Charizard","Froslass,Glalie","Charizard,Aerodactyl"
gen9championsvgc2026regma-2589244828,"Greninja,Archaludon,Delphox,Ditto,Pelipper,Sinistcha","Starmie,Archaludon,Politoed,Dragonite,Glimmora,Kommo-o","Ditto,Greninja,Archaludon,Pelipper","Politoed,Kommo-o,Dragonite,Archaludon"
gen9championsvgc2026regma-2589236364,"Froslass,Garchomp,Kingambit,Rotom-Frost,Whimsicott,Incineroar","Venusaur,Charizard,Incineroar,Garchomp,Rotom-Wash,Corviknight","Garchomp,Whimsicott,Froslass,Rotom-Frost","Garchomp,Venusaur,Rotom-Wash,Charizard"
gen9championsvgc2026regma-2589245191,"Whimsicott,Farigiraf,Manectric,Charizard,Basculegion-F,Scizor","Oranguru,Camerupt,Aggron,Farigiraf,Incineroar,Hydrapple","Basculegion-F,Manectric,Farigiraf","Aggron,Incineroar,Oranguru,Farigiraf"
gen9championsvgc2026regma-2589242123,"Gengar,Politoed,Basculegion,Blastoise,Archaludon,Dragonite","Cofagrigus,Crabominable,Torkoal,Venusaur,Raichu,Kingambit","Gengar,Blastoise,Basculegion,Politoed","Kingambit,Venusaur,Torkoal,Raichu"
gen9championsvgc2026regma-2589243054,"Pelipper,Basculegion,Dragonite,Liepard,Sneasler,Meganium","Kangaskhan,Espathra,Vivillon,Typhlosion-Hisui,Milotic,Floette-Eternal","Liepard,Sneasler,Dragonite,Pelipper","Espathra,Vivillon,Floette-Eternal,Milotic"
gen9championsvgc2026regma-2589242148,"Drampa,Alakazam,Basculegion,Scizor,Pelipper,Sinistcha","Floette-Eternal,Incineroar,Whimsicott,Palafin,Farigiraf,Ditto","Alakazam,Basculegion,Pelipper,Scizor","Whimsicott,Incineroar,Farigiraf,Palafin,Palafin"
gen9championsvgc2026regma-2589243229,"Gardevoir,Maushold,Aegislash,Talonflame,Politoed,Venusaur","Charizard,Delphox,Kingambit,Sneasler,Whimsicott,Incineroar","Politoed,Maushold,Gardevoir","Whimsicott,Incineroar,Kingambit,Charizard"
gen9championsvgc2026regma-2589241118,"Venusaur,Corviknight,Incineroar,Primarina,Torkoal,Farigiraf","Garchomp,Tyranitar,Corviknight,Incineroar,Tinkaton,Orthworm","Incineroar,Venusaur,Primarina,Corviknight","Tyranitar,Garchomp,Orthworm,Corviknight"
gen9championsvgc2026regma-2589243313,"Corviknight,Pelipper,Basculegion,Meganium,Raichu,Sneasler","Kingambit,Aerodactyl,Garchomp,Alakazam,Meowstic,Basculegion","Meganium,Pelipper,Raichu,Basculegion","Kingambit,Alakazam,Meowstic"
gen9championsvgc2026regma-2589241647,"Aggron,Sinistcha,Incineroar,Tyranitar,Lycanroc,Sneasler","Sinistcha,Froslass,Palafin,Arcanine-Hisui,Sneasler,Kingambit","Tyranitar,Lycanroc,Incineroar,Sneasler","Arcanine-Hisui,Sneasler,Sinistcha,Froslass"
gen9championsvgc2026regma-2589242092,"Starmie,Pelipper,Whimsicott,Araquanid,Toxicroak,Glimmora","Aerodactyl,Froslass,Araquanid,Incineroar,Kommo-o,Excadrill","Glimmora,Pelipper,Toxicroak,Starmie","Excadrill,Incineroar,Aerodactyl,Froslass"
gen9championsvgc2026regma-2589242517,"Sableye,Primarina,Maushold,Meganium,Aerodactyl,Archaludon","Delphox,Maushold,Farigiraf,Incineroar,Blastoise,Garchomp","Meganium,Primarina,Sableye","Maushold,Garchomp,Farigiraf,Delphox"
gen9championsvgc2026regma-2589238557,"Skarmory,Sneasler,Garchomp,Rotom-Wash,Sinistcha,Incineroar","Scovillain,Sneasler,Talonflame,Incineroar,Basculegion,Serperior","Incineroar,Sinistcha,Rotom-Wash,Skarmory","Incineroar,Serperior,Talonflame,Sneasler"
gen9championsvgc2026regma-2589243403,"Zoroark-Hisui,Sneasler,Kingambit,Garchomp,Talonflame,Floette-Eternal","Archaludon,Dragonite,Basculegion,Sneasler,Politoed,Gengar","Garchomp,Floette-Eternal,Talonflame","Gengar,Sneasler,Dragonite,Politoed"
gen9championsvgc2026regma-2589228084,"Floette-Eternal,Flapple,Maushold,Starmie,Aegislash,Incineroar","Froslass,Infernape,Rotom-Wash,Whimsicott,Azumarill,Avalugg-Hisui","Incineroar,Floette-Eternal,Flapple","Whimsicott,Rotom-Wash,Froslass,Infernape"
gen9championsvgc2026regma-2589239233,"Gardevoir,Incineroar,Golurk,Kingambit,Abomasnow,Sinistcha","Dragonite,Incineroar,Sinistcha,Sneasler,Lucario,Garchomp","Sinistcha,Incineroar,Kingambit,Gardevoir","Garchomp,Incineroar,Sinistcha,Dragonite"
gen9championsvgc2026regma-2589241990,"Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Gardevoir,Talonflame,Sneasler,Kingambit,Rotom-Mow,Weavile","Garchomp,Sneasler,Charizard","Weavile,Sneasler,Rotom-Mow,Gardevoir"
gen9championsvgc2026regma-2589237309,"Blastoise,Farigiraf,Basculegion,Sinistcha,Whimsicott,Sneasler","Sinistcha,Talonflame,Feraligatr,Glimmora,Ninetales-Alola,Tinkaton","Whimsicott,Blastoise,Sinistcha,Basculegion","Feraligatr,Sinistcha,Talonflame,Tinkaton"
gen9championsvgc2026regma-2589238039,"Lucario,Toucannon,Archaludon,Politoed,Basculegion,Milotic","Pelipper,Basculegion,Sinistcha,Archaludon,Sneasler,Dragonite","Toucannon,Milotic,Archaludon,Lucario","Sneasler,Sinistcha,Archaludon,Basculegion"
gen9championsvgc2026regma-2589240719,"Sharpedo,Sneasler,Incineroar,Whimsicott,Garchomp,Dragonite","Farigiraf,Basculegion,Sneasler,Torkoal,Golurk,Talonflame","Whimsicott,Garchomp,Sharpedo,Sneasler","Talonflame,Golurk,Farigiraf,Basculegion"
gen9championsvgc2026regma-2589240327,"Hawlucha,Snorlax,Sinistcha,Incineroar,Scizor,Pinsir","Drampa,Sinistcha,Farigiraf,Pelipper,Archaludon,Kingambit","Sinistcha,Snorlax,Hawlucha,Pinsir","Kingambit,Pelipper,Farigiraf,Drampa"
gen9championsvgc2026regma-2589238227,"Sinistcha,Camerupt,Torkoal,Cofagrigus,Conkeldurr,Crabominable","Starmie,Archaludon,Politoed,Dragonite,Glimmora,Kommo-o","Camerupt,Torkoal,Conkeldurr,Cofagrigus","Politoed,Glimmora,Archaludon,Starmie"
gen9championsvgc2026regma-2589241579,"Tyranitar,Excadrill,Milotic,Aerodactyl,Meowscarada,Sneasler","Sneasler,Charizard,Kingambit,Garchomp,Aerodactyl,Venusaur","Tyranitar,Sneasler,Meowscarada","Garchomp,Aerodactyl,Venusaur,Charizard"
gen9championsvgc2026regma-2589238444,"Floette-Eternal,Garchomp,Kingambit,Basculegion,Sneasler,Froslass","Glimmora,Corviknight,Volcarona,Gyarados,Garchomp,Ninetales-Alola","Garchomp,Sneasler,Froslass,Basculegion","Garchomp,Glimmora,Ninetales-Alola,Gyarados"
gen9championsvgc2026regma-2589237810,"Gardevoir,Maushold,Aegislash,Talonflame,Politoed,Venusaur","Tsareena,Whimsicott,Armarouge,Goodra-Hisui,Charizard,Gallade","Politoed,Maushold,Talonflame,Gardevoir","Whimsicott,Goodra-Hisui,Tsareena,Charizard"
gen9championsvgc2026regma-2589238872,"Delphox,Meganium,Garchomp,Incineroar,Orthworm,Sneasler","Basculegion,Charizard,Kingambit,Sneasler,Venusaur,Talonflame","Garchomp,Orthworm,Sneasler,Delphox","Charizard,Kingambit,Talonflame"
gen9championsvgc2026regma-2589237492,"Venusaur,Aerodactyl,Charizard,Sneasler,Incineroar,Heliolisk","Camerupt,Slowbro,Drampa,Cofagrigus,Aegislash,Conkeldurr","Charizard,Incineroar,Venusaur,Sneasler","Cofagrigus,Camerupt,Slowbro,Conkeldurr"
gen9championsvgc2026regma-2589238556,"Espathra,Starmie,Garchomp,Raichu,Corviknight,Typhlosion-Hisui","Gallade,Aurorus,Glimmora,Empoleon,Garganacl,Appletun","Espathra,Typhlosion-Hisui,Starmie,Corviknight","Aurorus,Glimmora,Gallade,Garganacl"
gen9championsvgc2026regma-2589237925,"Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Gengar,Primarina,Kingambit,Maushold,Sneasler,Mimikyu","Maushold,Sneasler,Incineroar,Charizard","Gengar,Mimikyu,Kingambit,Sneasler"
gen9championsvgc2026regma-2589238528,"Excadrill,Tyranitar,Orthworm,Garchomp,Sinistcha,Corviknight","Incineroar,Floette-Eternal,Meowscarada,Maushold,Delphox,Aerodactyl","Tyranitar,Orthworm,Sinistcha,Corviknight","Incineroar,Floette-Eternal,Meowscarada"
gen9championsvgc2026regma-2589238928,"Gengar,Incineroar,Palafin,Whimsicott,Chimecho,Chandelure","Froslass,Drampa,Glaceon,Ninetales-Alola,Mr. Rime,Slowking","Gengar,Chandelure,Palafin,Chimecho,Palafin","Drampa,Slowking,Glaceon,Mr. Rime"
gen9championsvgc2026regma-2589239064,"Kingambit,Aerodactyl,Garchomp,Alakazam,Meowstic,Palafin","Floette-Eternal,Maushold,Garchomp,Talonflame,Rotom-Wash,Aegislash","Alakazam,Meowstic","Garchomp,Floette-Eternal,Rotom-Wash,Talonflame"
gen9championsvgc2026regma-2589237212,"Sableye,Primarina,Maushold,Meganium,Aerodactyl,Archaludon","Kangaskhan,Glimmora,Garchomp,Whimsicott,Incineroar,Rotom-Wash","Archaludon,Primarina,Aerodactyl,Sableye","Glimmora,Garchomp,Rotom-Wash,Whimsicott"
